neighbourhood_group,neighbourhood,lat,lon,n
Bronx,Allerton,40.865291666666664,-73.85872714285715,42
Bronx,Baychester,40.87361571428572,-73.84296714285713,7
Bronx,Belmont,40.855061666666664,-73.88710875,24
Bronx,Bronxdale,40.85473105263158,-73.86628736842106,19
Bronx,Castle Hill,40.81688888888888,-73.84700000000001,9
Bronx,City Island,40.84787222222222,-73.78705444444444,18
Bronx,Claremont Village,40.83918535714286,-73.90927857142857,28
Bronx,Clason Point,40.811750476190475,-73.85678952380952,21
Bronx,Co-op City,40.86481499999999,-73.82324,2
Bronx,Concourse,40.8269188,-73.92446939999999,50
Bronx,Concourse Village,40.83005375,-73.9178053125,32
Bronx,East Morrisania,40.831259,-73.88883799999999,10
Bronx,Eastchester,40.88085230769231,-73.83472230769232,13
Bronx,Edenwald,40.88803461538461,-73.83608692307692,13
Bronx,Fieldston,40.8919425,-73.90194166666667,12
Bronx,Fordham,40.86322158730159,-73.8943592063492,63
Bronx,Highbridge,40.83548962962963,-73.92785185185186,27
Bronx,Hunts Point,40.81552222222222,-73.88808833333333,18
Bronx,Kingsbridge,40.87679828571429,-73.90178942857142,70
Bronx,Longwood,40.82127806451613,-73.90244951612902,62
Bronx,Melrose,40.821535,-73.91584900000001,10
Bronx,Morris Heights,40.84913117647059,-73.91630176470589,17
Bronx,Morris Park,40.85227933333333,-73.85538066666666,15
Bronx,Morrisania,40.82828111111111,-73.9058561111111,18
Bronx,Mott Haven,40.8109975,-73.9198715,60
Bronx,Mount Eden,40.842063333333336,-73.91650166666666,6
Bronx,Mount Hope,40.8484305,-73.9055175,20
Bronx,North Riverdale,40.907599,-73.898328,10
Bronx,Norwood,40.87503580645161,-73.87942096774194,31
Bronx,Olinville,40.883655,-73.86451,4
Bronx,Parkchester,40.83565,-73.8638717948718,39
Bronx,Pelham Bay,40.84935,-73.83207647058823,17
Bronx,Pelham Gardens,40.86368392857143,-73.84316,28
Bronx,Port Morris,40.80673391304348,-73.9266202173913,46
Bronx,Riverdale,40.88735181818182,-73.91206363636364,11
Bronx,Schuylerville,40.83585769230769,-73.83347,13
Bronx,Soundview,40.826920666666666,-73.86991266666668,15
Bronx,Spuyten Duyvil,40.88109,-73.916775,4
Bronx,Throgs Neck,40.824156249999994,-73.82177791666668,24
Bronx,Tremont,40.84367909090909,-73.89131363636363,11
Bronx,Unionport,40.828294285714286,-73.85246285714285,7
Bronx,University Heights,40.85805809523809,-73.9101619047619,21
Bronx,Van Nest,40.84326,-73.86715545454545,11
Bronx,Wakefield,40.893178400000004,-73.8535778,50
Bronx,West Farms,40.84135,-73.878455,2
Bronx,Westchester Square,40.839690000000004,-73.846981,10
Bronx,Williamsbridge,40.87893525,-73.85814675,40
Bronx,Woodlawn,40.897420909090904,-73.86793909090909,11
Brooklyn,Bath Beach,40.60413411764706,-74.00637411764706,17
Brooklyn,Bay Ridge,40.63142361702128,-74.02623751773051,141
Brooklyn,Bedford-Stuyvesant,40.687198887991386,-73.9398129267636,3714
Brooklyn,Bensonhurst,40.612183466666664,-73.9940088,75
Brooklyn,Bergen Beach,40.623371000000006,-73.90920600000001,10
Brooklyn,Boerum Hill,40.68639096045198,-73.98548593220339,177
Brooklyn,Borough Park,40.63727345588235,-73.99703058823529,136
Brooklyn,Brighton Beach,40.57841293333333,-73.96129933333333,75
Brooklyn,Brooklyn Heights,40.69479337662337,-73.99432435064935,154
Brooklyn,Brownsville,40.66467426229508,-73.91421426229508,61
Brooklyn,Bushwick,40.69674103042596,-73.92037348478702,2465
Brooklyn,Canarsie,40.638594285714284,-73.9012931292517,147
Brooklyn,Carroll Gardens,40.6806352360515,-73.99616004291845,233
Brooklyn,Clinton Hill,40.688114440559445,-73.96440064685315,572
Brooklyn,Cobble Hill,40.687267272727276,-73.99555353535354,99
Brooklyn,Columbia St,40.685023095238094,-74.0024573809524,42
Brooklyn,Coney Island,40.57593882352941,-73.98858176470588,17
Brooklyn,Crown Heights,40.67269851662404,-73.94632447570332,1564
Brooklyn,Cypress Hills,40.68219525925925,-73.88409666666666,135
Brooklyn,DUMBO,40.70326583333333,-73.98789888888888,36
Brooklyn,Downtown Brooklyn,40.694321927710845,-73.98493807228915,83
Brooklyn,Dyker Heights,40.6240875,-74.0104725,12
Brooklyn,East Flatbush,40.64900038,-73.93927633999999,500
Brooklyn,East New York,40.668212018348626,-73.88419665137614,218
Brooklyn,Flatbush,40.64495351046699,-73.96051922705314,621
Brooklyn,Flatlands,40.62554265060241,-73.93257578313253,83
Brooklyn,Fort Greene,40.69018822085889,-73.97410271983641,489
Brooklyn,Fort Hamilton,40.61895781818182,-74.03223527272726,55
Brooklyn,Gowanus,40.67629947368421,-73.98865825910931,247
Brooklyn,Gravesend,40.595597794117644,-73.97689617647059,68
Brooklyn,Greenpoint,40.7279669147982,-73.95054533632286,1115
Brooklyn,Kensington,40.64174885714286,-73.97570154285714,175
Brooklyn,Manhattan Beach,40.579364999999996,-73.946535,8
Brooklyn,Midwood,40.62020688073394,-73.95967211009174,109
Brooklyn,Mill Basin,40.612382499999995,-73.91585,4
Brooklyn,Navy Yard,40.69982142857143,-73.97393571428572,14
Brooklyn,Park Slope,40.6741683201581,-73.97895359683794,506
Brooklyn,Prospect Heights,40.67753243697479,-73.96805361344538,357
Brooklyn,Prospect-Lefferts Gardens,40.659284953271026,-73.95527491588784,535
Brooklyn,Red Hook,40.67721012658228,-74.00979632911393,79
Brooklyn,Sea Gate,40.57711857142857,-74.00872000000001,7
Brooklyn,Sheepshead Bay,40.59623030487805,-73.95208219512195,164
Brooklyn,South Slope,40.66492566901409,-73.98542095070422,284
Brooklyn,Sunset Park,40.65252517948718,-74.00340964102564,390
Brooklyn,Vinegar Hill,40.70154676470588,-73.98331147058823,34
Brooklyn,Williamsburg,40.71256288520408,-73.95185375510205,3920
Brooklyn,Windsor Terrace,40.65461184713376,-73.97798974522293,157
Manhattan,Battery Park City,40.709964285714285,-74.016585,70
Manhattan,Chelsea,40.74468665768194,-73.99811000898472,1113
Manhattan,Chinatown,40.71561961956522,-73.99390682065217,368
Manhattan,Civic Center,40.713855384615385,-74.00362826923077,52
Manhattan,East Harlem,40.79614334825425,-73.94228510295434,1117
Manhattan,East Village,40.72676342687534,-73.9838571559633,1853
Manhattan,Financial District,40.70690612903226,-74.00916733870967,744
Manhattan,Flatiron District,40.74105225,-73.98841350000001,80
Manhattan,Gramercy,40.73557207100592,-73.98429849112425,338
Manhattan,Greenwich Village,40.73066278061224,-73.99856306122449,392
Manhattan,Harlem,40.81602560195636,-73.948005579383,2658
Manhattan,Hell's Kitchen,40.762156971399385,-73.99147516343209,1958
Manhattan,Inwood,40.86531611111111,-73.92471996031746,252
Manhattan,Kips Bay,40.74181514893617,-73.9793955106383,470
Manhattan,Little Italy,40.71880008264463,-73.9972290909091,121
Manhattan,Lower East Side,40.718386871569706,-73.98781817782657,911
Manhattan,Marble Hill,40.87574083333333,-73.91103833333334,12
Manhattan,Midtown,40.75487114563107,-73.97582011003236,1545
Manhattan,Morningside Heights,40.80834164739884,-73.96175826589595,346
Manhattan,Murray Hill,40.74743463917525,-73.97602859793815,485
Manhattan,NoHo,40.72700987179487,-73.99305166666666,78
Manhattan,Nolita,40.722145652173914,-73.99508252964426,253
Manhattan,Roosevelt Island,40.763282987012985,-73.9485561038961,77
Manhattan,SoHo,40.72437955307263,-74.00202427374302,358
Manhattan,Stuyvesant Town,40.731838918918925,-73.97830351351352,37
Manhattan,Theater District,40.7598365625,-73.98549086805556,288
Manhattan,Tribeca,40.71774378531073,-74.00740011299435,177
Manhattan,Two Bridges,40.71172722222222,-73.99578013888889,72
Manhattan,Upper East Side,40.77274807007786,-73.95473966073415,1798
Manhattan,Upper West Side,40.78846260273973,-73.97373466260781,1971
Manhattan,Washington Heights,40.84449530589544,-73.93836130144605,899
Manhattan,West Village,40.7343511328125,-74.004077890625,768
Queens,Arverne,40.59185298701299,-73.7948390909091,77
Queens,Astoria,40.764299155555555,-73.92000176666667,900
Queens,Bay Terrace,40.78066333333334,-73.78305,6
Queens,Bayside,40.759776153846154,-73.76862512820513,39
Queens,Bayswater,40.60571823529411,-73.76258235294118,17
Queens,Belle Harbor,40.57615125,-73.849045,8
Queens,Bellerose,40.731111428571424,-73.7263957142857,14
Queens,Breezy Point,40.56573,-73.86990333333334,3
Queens,Briarwood,40.70975517857143,-73.81381392857143,56
Queens,Cambria Heights,40.69378230769231,-73.73592038461538,26
Queens,College Point,40.78480263157895,-73.84378736842105,19
Queens,Corona,40.7429009375,-73.86100015625,64
Queens,Ditmars Steinway,40.7750295145631,-73.91055352750809,309
Queens,Douglaston,40.75964125,-73.73612625,8
Queens,East Elmhurst,40.76278367567568,-73.87868027027028,185
Queens,Edgemere,40.59467545454545,-73.77372818181819,11
Queens,Elmhurst,40.73993611814346,-73.87870569620254,237
Queens,Far Rockaway,40.597408620689656,-73.75450620689656,29
Queens,Flushing,40.754883967136145,-73.81951089201878,426
Queens,Forest Hills,40.721642777777774,-73.84672479166666,144
Queens,Fresh Meadows,40.7390734375,-73.788746875,32
Queens,Glendale,40.70078425925926,-73.8892062962963,54
Queens,Hollis,40.71452,-73.76707642857143,14
Queens,Holliswood,40.7224525,-73.77063,4
Queens,Howard Beach,40.661451,-73.845106,20
Queens,Jackson Heights,40.75174322580645,-73.88153715053764,186
Queens,Jamaica,40.685045844155844,-73.78834991341992,231
Queens,Jamaica Estates,40.718346315789475,-73.79042,19
Queens,Jamaica Hills,40.71358875,-73.7985025,8
Queens,Kew Gardens,40.7083015625,-73.830565,32
Queens,Kew Gardens Hills,40.724429615384615,-73.81922884615385,26
Queens,Laurelton,40.67529277777778,-73.74460055555556,18
Queens,Little Neck,40.764697999999996,-73.730012,5
Queens,Long Island City,40.7524518621974,-73.93820013035382,537
Queens,Maspeth,40.729699,-73.899919,110
Queens,Middle Village,40.716305806451615,-73.87912548387098,31
Queens,Neponsit,40.57063,-73.85921666666667,3
Queens,Ozone Park,40.68123887096774,-73.84736258064515,62
Queens,Queens Village,40.71459383333333,-73.74315366666666,60
Queens,Rego Park,40.72680462264151,-73.86168273584906,106
Queens,Richmond Hill,40.69398457446809,-73.83000361702128,94
Queens,Ridgewood,40.70407765957447,-73.90590231678487,423
Queens,Rockaway Beach,40.58743357142857,-73.8137830357143,56
Queens,Rosedale,40.65946898305084,-73.73445610169492,59
Queens,South Ozone Park,40.67225925,-73.804218,40
Queens,Springfield Gardens,40.66768988235294,-73.76242811764706,85
Queens,St. Albans,40.69566763157894,-73.76206763157894,76
Queens,Sunnyside,40.74241371900826,-73.92070933884297,363
Queens,Whitestone,40.78423818181818,-73.81864999999999,11
Queens,Woodhaven,40.691967727272726,-73.8582325,88
Queens,Woodside,40.7459250212766,-73.9027229787234,235
Staten Island,Arden Heights,40.55241,-74.1822525,4
Staten Island,Arrochar,40.593899523809526,-74.07460047619048,21
Staten Island,"Bay Terrace, Staten Island",40.551435,-74.140495,2
Staten Island,Bull's Head,40.60115,-74.16637166666668,6
Staten Island,Castleton Corners,40.6171025,-74.1230075,4
