neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,never_reviewed,dist_from_center,has_reviews,availability_ratio,is_multi_listing_host,log_minimum_nights,log_number_of_reviews,log_reviews_per_month,log_calculated_host_listings_count,log_price
Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21,6,365,0,0.11128727240794972,1,1.0,1,0.6931471805599453,2.302585092994046,0.1906203596086497,1.9459101490553132,5.0106352940962555
Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355,0,0.004709278076311023,1,0.9726027397260274,1,0.6931471805599453,3.828641396489095,0.32208349916911333,1.0986122886681098,5.420534999272286
Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,0.0,1,365,1,0.06711184992234388,0,1.0,0,1.3862943611198906,0.0,0.0,0.6931471805599453,5.017279836814924
Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64,1,194,0,0.07727306904737755,1,0.5315068493150685,0,0.6931471805599453,5.602118820879701,1.7298840655099674,0.6931471805599453,4.499809670330265
Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,0,0.058001208608097155,1,0.0,0,2.3978952727983707,2.302585092994046,0.09531017980432487,0.6931471805599453,4.394449154672439
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129,0,0.014729524771703442,1,0.35342465753424657,0,1.3862943611198906,4.31748811353631,0.4637340162321401,0.6931471805599453,5.303304908059076
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,0,0.07701081742196943,1,0.0,0,3.828641396489095,3.912023005428146,0.33647223662121295,0.6931471805599453,4.110873864173311
Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,1,220,0,0.006913537444751066,1,0.6027397260273972,0,1.0986122886681098,6.066108090103747,1.4973884086254776,0.6931471805599453,4.382026634673881
Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,0.99,1,0,0,0.047439237978701546,1,0.0,0,1.0986122886681098,4.77912349311153,0.688134638736401,0.6931471805599453,4.382026634673881
Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33,4,188,0,0.044825333239144345,1,0.5150684931506849,1,0.6931471805599453,5.081404364984463,0.8458682675776092,1.6094379124341003,5.017279836814924
